id_article,nom_article,catégorie,sous_catégorie,prix,description,ingrédients
203,Panini Poulet-Ratatouille,Plats,Sandwichs et Burgers,12.50,"Poulet grillé, ratatouille maison, et fromage de chèvre","Poulet, courgettes, aubergines, tomates"
204,Burger Végétarien,Plats,Sandwichs et Burgers,13.50,"Steak de légumes, avocat, et sauce yaourt","Légumes, avocat, yaourt, pain brioché"
205,Baguette Jambon-Beurre,Plats,Sandwichs et Burgers,8.00,"Baguette traditionnelle avec jambon et beurre","Jambon, beurre, baguette"
206,Burger BBQ,Plats,Sandwichs et Burgers,16.00,"Steak haché, sauce barbecue, oignons frits","Bœuf, sauce BBQ, oignons, cheddar"
207,Panini Saumon-Avocat,Plats,Sandwichs et Burgers,14.00,"Saumon fumé, avocat, et fromage frais","Saumon, avocat, fromage frais, pain panini"
208,Club Sandwich,Plats,Sandwichs et Burgers,12.00,"Poulet, bacon, laitue, tomate, et mayonnaise","Poulet, bacon, tomate, pain de mie"
209,Wrap Poulet-Crudités,Plats,Sandwichs et Burgers,11.50,"Poulet grillé, crudités, et sauce fromagère","Poulet, crudités, tortilla, sauce"

211,Coq au Vin,Plats,Cuisine Traditionnelle,16.00,"Cuisse de poulet mijotée au vin rouge (sans alcool), champignons","Poulet, carottes, oignons, bouillon"
212,Boeuf Bourguignon,Plats,Cuisine Traditionnelle,17.50,"Bœuf mijoté aux carottes et oignons, sauce riche","Bœuf, lardons, champignons, bouillon"
213,Ratatouille Provençale,Plats,Cuisine Traditionnelle,13.00,"Légumes du soleil rôtis au thym et à l'huile d'olive","Aubergines, courgettes, poivrons, tomates"
214,Quiche aux Poireaux,Plats,Cuisine Traditionnelle,11.00,"Tarte aux poireaux et fromage de chèvre","Poireaux, chèvre, œufs, crème"
215,Pot-au-Feu,Plats,Cuisine Traditionnelle,17.00,"Bœuf et légumes mijotés, bouillon parfumé","Bœuf, carottes, poireaux, navets"
216,Cassoulet,Plats,Cuisine Traditionnelle,16.50,"Haricots blancs, saucisse, et confit de canard","Haricots, saucisse, canard, tomates"

221,Daurade Grillée,Plats,Poissons et Fruits de Mer,18.00,"Filet de daurade, légumes grillés, et sauce vierge","Daurade, citron, courgettes, tomates cerises"
222,Saumon en Papillote,Plats,Poissons et Fruits de Mer,19.50,"Saumon cuit en papillote avec légumes","Saumon, courgettes, citron, aneth"

231,Blanquette de Veau,Plats,Viandes,19.00,"Veau mijoté à la crème et aux champignons","Veau, champignons, crème, carottes"
232,Confit de Canard,Plats,Viandes,18.50,"Cuisse de canard confite, pommes de terre sautées","Canard, pommes de terre, ail"
233,Lapin à la Moutarde,Plats,Viandes,16.50,"Lapin mijoté à la moutarde à l'ancienne","Lapin, moutarde, crème, échalotes"
234,Andouillette Grillée,Plats,Viandes,15.00,"Andouillette grillée, sauce moutarde","Andouillette, moutarde, pommes de terre"
235,Filet Mignon,Plats,Viandes,20.00,"Filet mignon de porc, sauce aux champignons","Porc, champignons, crème, échalotes"
236,Poulet Rôti,Plats,Viandes,15.50,"Poulet rôti avec jus de cuisson","Poulet, thym, ail, jus de cuisson"
237,Gigot d'Agneau,Plats,Viandes,22.00,"Gigot d'agneau rôti, flageolets","Agneau, flageolets, romarin"

241,Gratin de Légumes,Plats,Végétarien,12.00,"Courgettes, aubergines, et tomates gratinées au fromage","Légumes de saison, béchamel, emmental"
242,Galette de Lentilles,Plats,Végétarien,11.50,"Galette de lentilles corail, sauce yaourt-citron","Lentilles, carottes, oignons, épices"
243,Risotto aux Champignons,Plats,Végétarien,14.00,"Risotto crémeux aux champignons sauvages","Riz, champignons, parmesan, crème"
244,Tarte aux Legumes,Plats,Végétarien,12.50,"Tarte aux légumes de saison et fromage de chèvre","Légumes, chèvre, pâte brisée"
245,Falafel,Plats,Végétarien,10.50,"Boulettes de pois chiches, sauce tahini","Pois chiches, tahini, persil"
246,Lasagnes Végétariennes,Plats,Végétarien,13.50,"Lasagnes aux légumes et béchamel","Courgettes, aubergines, tomates, béchamel"
247,Curry de Légumes,Plats,Végétarien,12.00,"Curry doux aux légumes et lait de coco","Légumes, lait de coco, curry"
248,Pâtes aux Artichauts,Plats,Végétarien,11.50,"Pâtes fraîches aux artichauts et parmesan","Pâtes, artichauts, parmesan, crème"
249,Soupe de Lentilles,Plats,Végétarien,9.00,"Soupe épicée aux lentilles et légumes","Lentilles, carottes, oignons, épices"





301,Frites Maison,Accompagnements,Féculents,5.00,"Coupées à la main, sel de Guérande","Pommes de terre, huile d'arachide"
302,Gratin Dauphinois,Accompagnements,Féculents,6.50,"Pommes de terre, crème fraîche, et noix de muscade","Pommes de terre, crème, muscade"
303,Quinoa aux Herbes,Accompagnements,Féculents,5.00,"Quinoa, persil, coriandre, et tomates séchées","Quinoa, persil, coriandre, tomates"
304,Riz Basmati,Accompagnements,Féculents,4.00,"Riz basmati parfumé au beurre","Riz, beurre"
305,Pommes de Terre Sautées,Accompagnements,Féculents,5.50,"Pommes de terre sautées à l'ail et au persil","Pommes de terre, ail, persil"
306,Polenta,Accompagnements,Féculents,5.00,"Polenta crémeuse au parmesan","Polenta, parmesan, crème"

311,Petits Pois Carottes,Accompagnements,Légumes,4.50,"Petits pois et carottes à la française","Petits pois, carottes, oignons"
312,Légumes Rôtis,Accompagnements,Légumes,5.50,"Courgettes, carottes, et poivrons rôtis à l'huile d'olive","Courgettes, carottes, poivrons, huile d'olive"
313,Purée de Céleri-Rave,Accompagnements,Légumes,4.50,"Purée onctueuse au céleri-rave et crème fraîche","Céleri-rave, crème, beurre"
314,Haricots Verts,Accompagnements,Légumes,4.50,"Haricots verts à l'ail","Haricots verts, ail, beurre"





401,Café Allongé,Boissons,Boissons Chaudes,3.00,"Café filtre servi dans une grande tasse","Café arabica"
402,Thé à la Menthe Fraîche,Boissons,Boissons Chaudes,4.00,"Thé vert à la menthe fraîche et miel","Thé vert, menthe, miel"
403,Chocolat Viennois,Boissons,Boissons Chaudes,5.50,"Chocolat chaud épais avec chantilly et copeaux de chocolat","Chocolat noir, crème, sucre"
404,Infusion Verveine-Citron,Boissons,Boissons Chaudes,4.00,"Verveine et zeste de citron bio","Verveine, citron"
405,Café Noisette,Boissons,Boissons Chaudes,3.50,"Expresso avec une touche de lait mousseux","Café, lait"
406,Cappuccino,Boissons,Boissons Chaudes,4.50,"Expresso, lait mousseux, et cacao","Café, lait, cacao"
407,Thé Noir,Boissons,Boissons Chaudes,3.50,"Thé noir de Ceylan","Thé noir"
408,Latte Macchiato,Boissons,Boissons Chaudes,5.00,"Lait mousseux avec un trait d'expresso","Lait, café"
409,Chocolat à l'Orange,Boissons,Boissons Chaudes,5.50,"Chocolat chaud parfumé à l'orange","Chocolat, orange, crème"

411,Jus d'Orange Pressé,Boissons,Boissons Froides,5.00,"Pressé quotidiennement","Oranges fraîches"
412,Limonade Maison,Boissons,Boissons Froides,4.50,"Citron, sucre de canne, et eau gazeuse","Citron, sucre, eau"
413,Eau Infusée (Citron/Gingembre),Boissons,Boissons Froides,3.50,"Eau fraîche infusée au citron et gingembre","Citron, gingembre, eau"
414,Smoothie Tropical,Boissons,Boissons Froides,6.00,"Mangue, ananas, et banane mixés avec yaourt nature","Mangue, ananas, banane, yaourt"
415,Jus de Pomme,Boissons,Boissons Froides,4.50,"Jus de pomme pressé à froid","Pommes"
416,Coca-Cola,Boissons,Boissons Froides,3.50,"Soda classique","Eau gazéifiée, sucre, arômes"
417,Perrier,Boissons,Boissons Froides,3.00,"Eau minérale gazeuse","Eau minérale"
418,Ice Tea,Boissons,Boissons Froides,4.00,"Thé glacé à la pêche","Thé, pêche, sucre"
419,Jus de Carotte,Boissons,Boissons Froides,5.00,"Jus de carotte frais","Carottes"





501,Crème Brûlée,Desserts,Crèmes et Mousses,6.50,"Crème vanille caramélisée à la torche","Crème fraîche, vanille, sucre, œufs"
502,Tiramisu,Desserts,Crèmes et Mousses,6.50,"Dessert italien au café et mascarpone","Mascarpone, café, biscuits"
503,Mousse au Chocolat Noir,Desserts,Crèmes et Mousses,6.00,"Mousse 70% cacao, chantilly légère","Chocolat noir, œufs, crème"
504,Île Flottante,Desserts,Crèmes et Mousses,6.50,"Meringue légère sur crème anglaise vanillée","Œufs, lait, vanille"

511,Salade de Fruits Frais,Desserts,Fruits et Sorbets,5.50,"Fruits de saison coupés au couteau (melon, fraises, kiwi)","Melon, fraises, kiwi"
512,Sorbet Citron/Framboise,Desserts,Fruits et Sorbets,5.00,"Sorbet artisanal au choix","Citron ou framboise, eau, sucre"
513,Profiteroles,Desserts,Pâtisseries,7.50,"Choux garnis de glace vanille et sauce chocolat","Choux, glace, chocolat"
514,Fondant au Chocolat,Desserts,Pâtisseries,7.00,"Gâteau moelleux avec cœur coulant","Chocolat, beurre, œufs"
515,Tarte Tatin,Desserts,Pâtisseries,7.00,"Tarte renversée aux pommes caramélisées","Pommes, sucre, pâte feuilletée"
516,Clafoutis aux Cerises,Desserts,Pâtisseries,6.00,"Clafoutis traditionnel aux cerises","Cerises, lait, œufs, farine"
